IDENTIFIER	log2FoldChange
bradi1g26000.1|pacid:21820299	-2.75724385656672
bradi1g26530.1|pacid:21816388	-2.12915463282861
bradi1g26570.1|pacid:21820200	-2.12014632465716
bradi1g27370.1|pacid:21820710	-2.00962114548857
bradi1g27440.1|pacid:21816360	-2.27954176621997
bradi1g28620.1|pacid:21821934	-2.18138949813411
bradi1g29680.2|pacid:21822848	-2.02563650158716
bradi1g29680.1|pacid:21822847	-2.02563650158716
bradi1g29750.1|pacid:21814869	2.96888330023865
bradi1g30240.1|pacid:21820938	4.49053318357814
bradi1g30550.1|pacid:21815422	2.17632966858969
bradi1g30850.1|pacid:21823172	4.15026934000681
bradi1g30850.2|pacid:21823173	4.15026934000681
bradi1g31160.1|pacid:21817226	-2.31866335757898
bradi1g32460.1|pacid:21821374	-2.28632517633808
bradi1g32700.1|pacid:21820698	-2.14452325206801
bradi1g32840.1|pacid:21822090	-2.16113842489828
bradi1g33050.1|pacid:21814902	-2.52430995724477
bradi1g33640.1|pacid:21816599	-2.14576330773254
bradi1g33650.1|pacid:21821681	-2.8202397726714
bradi1g33690.1|pacid:21816685	2.89564861710395
bradi1g33950.1|pacid:21823645	4.40511918822389
bradi1g34120.1|pacid:21821628	2.96333153960269
bradi1g34700.2|pacid:21819506	-2.07680934108657
bradi1g34700.1|pacid:21819504	-2.07680934108657
bradi1g34700.3|pacid:21819505	-2.07680934108657
bradi1g34770.3|pacid:21822554	2.45061699466977
bradi1g34770.4|pacid:21822555	2.45061699466977
bradi1g34770.1|pacid:21822553	2.45061699466977
bradi1g35140.1|pacid:21822454	2.8604115595905
bradi1g35340.1|pacid:21818523	-2.52494297212612
bradi1g35460.2|pacid:21818131	-2.05359137464762
bradi1g35460.1|pacid:21818130	-2.05359137464762
bradi1g36130.1|pacid:21818360	2.49364969352407
bradi1g36490.1|pacid:21822767	-2.11916941569777
bradi1g37010.1|pacid:21816802	2.88686564479558
bradi1g37620.1|pacid:21820787	-2.16230097499502
bradi1g37660.1|pacid:21815364	-3.02567079865779
bradi1g38140.1|pacid:21816507	-3.04313538785098
bradi1g38740.1|pacid:21819354	-2.39684313280783
bradi1g39010.1|pacid:21821465	2.94093456400769
bradi1g39030.1|pacid:21821684	3.968573206668
bradi1g39270.1|pacid:21821270	-2.03077901109042
bradi1g40350.1|pacid:21820782	2.19510535715444
bradi1g43080.1|pacid:21820811	-2.03683923548866
bradi1g43090.1|pacid:21816100	3.05000721913679
bradi1g43787.1|pacid:21817954	2.34530632521454
bradi1g44000.1|pacid:21821826	2.53932635944963
bradi1g44010.1|pacid:21820671	2.72998839848564
bradi1g44390.1|pacid:21815434	-3.57746403980925
bradi1g44430.1|pacid:21817351	-2.35218654822761
bradi1g44470.1|pacid:21815110	-2.25420474320392
bradi1g44680.1|pacid:21820579	-3.98072493817892
bradi1g44690.1|pacid:21818146	-3.44151037825755
bradi1g44720.1|pacid:21816097	2.36326374660928
bradi1g44730.1|pacid:21819398	2.2643693309983
bradi1g45220.1|pacid:21818414	3.66432535185083
bradi1g45567.1|pacid:21823226	2.01904844937655
bradi1g45727.1|pacid:21817859	-2.58086581313334
bradi1g45950.1|pacid:21817380	-2.29219451392391
bradi1g47350.1|pacid:21820019	2.13386930223512
bradi1g48030.1|pacid:21818996	2.10267608463068
bradi1g48050.1|pacid:21815134	3.8101797470749
bradi1g48050.2|pacid:21815135	3.8101797470749
bradi1g48620.1|pacid:21821790	-2.94374745730527
bradi1g49560.2|pacid:21816342	-3.62070769717253
bradi1g49560.1|pacid:21816341	-3.62070769717253
bradi1g49570.1|pacid:21820597	-2.35225277098232
bradi1g50067.1|pacid:21815604	-2.15892455307751
bradi1g50080.1|pacid:21815144	-2.14092072751839
bradi1g50130.1|pacid:21818288	-2.04059829172799
bradi1g53560.1|pacid:21819080	3.18064160130604
bradi1g53680.1|pacid:21817178	-2.9114428333004
bradi1g53770.1|pacid:21819908	-2.11625847825496
bradi1g54650.1|pacid:21815613	-3.38982262472162
bradi1g54890.1|pacid:21816661	-3.09903033971644
bradi1g55110.1|pacid:21819034	-2.18619313903797
bradi1g55370.1|pacid:21814996	-2.12232428542017
bradi1g56860.1|pacid:21816732	2.90100739959765
bradi1g57040.1|pacid:21820899	-2.19049507067293
bradi1g57147.1|pacid:21822510	2.77999745717446
bradi1g58240.1|pacid:21821220	2.65166233883398
bradi1g58415.1|pacid:21822237	2.77181331262173
bradi1g58430.1|pacid:21821978	3.69704559557391
bradi1g59440.1|pacid:21816164	-2.04472406304406
bradi1g59680.1|pacid:21816645	2.28669971368987
bradi1g59690.1|pacid:21814852	2.00135984800196
bradi1g60130.1|pacid:21822798	2.78530045566393
bradi1g60490.2|pacid:21822907	-3.68728924803502
bradi1g60490.1|pacid:21822906	-3.68728924803502
bradi1g60960.1|pacid:21823606	-2.06671591164785
bradi1g62860.1|pacid:21816010	2.2890251495869
bradi1g62890.1|pacid:21823742	-2.39984264637581
bradi1g63600.1|pacid:21815124	-2.16571505522887
bradi1g63810.1|pacid:21819040	-3.06783679782486
bradi1g64120.1|pacid:21821121	-2.9550143050665
bradi1g64280.1|pacid:21817312	-5.01226386739924
bradi1g64290.1|pacid:21816343	-4.05835251831994
bradi1g64687.1|pacid:21816070	-2.48680342053307
bradi1g64817.1|pacid:21819580	-2.29006319592284
bradi1g64987.1|pacid:21821540	-2.02573481706845
bradi1g65130.1|pacid:21819936	-2.04241401237199
bradi1g65520.1|pacid:21815328	-2.71233965065454
bradi1g66120.1|pacid:21817513	2.09969070796007
bradi1g66527.1|pacid:21821972	3.11984942621709
bradi1g66800.1|pacid:21821527	3.17644286292397
bradi1g66890.1|pacid:21818181	-2.00417105893208
bradi1g67110.1|pacid:21817439	2.07787596884256
bradi1g67720.1|pacid:21816705	-2.48720777663471
bradi1g67980.1|pacid:21823103	2.05064905033575
bradi1g68260.1|pacid:21822212	-2.36856024267167
bradi1g68340.1|pacid:21822108	-2.2413519905799
bradi1g69070.1|pacid:21816014	-2.60398408971215
bradi1g69260.1|pacid:21814791	-2.92387839217641
bradi1g69290.1|pacid:21816174	-3.31306154148382
