id,baseMean,baseMeanA,baseMeanB,foldChange,log2FoldChange,pval,padj
Bradi2g47730,21.4903522729557,7.01041016156867,35.9702943843428,5.13098286053692,2.35923520637913,0.000000783771467257192,0.000436825693230136
Bradi2g48160,125.808686647187,215.470005113605,36.1473681807703,0.167760557492501,-2.57552453404879,0.0000573413409855032,0.0196654334345975
Bradi2g49067,140.607672355708,223.190185406439,58.0251593049771,0.2599807836501,-1.94352310377693,0.00000044510109274737,0.000274489589579507
Bradi2g49080,4.71592015133072,0.824002510243292,8.60783779241815,10.4463732639317,3.38493025419862,0.0000661130870687107,0.0213593179266043
Bradi2g55310,112.592739595544,60.5957427359464,164.589736455142,2.71619306941022,1.44158603126931,0.00000255669789389318,0.00129531612387879
Bradi2g60260,11.4375832817282,20.0592577598748,2.81590880358156,0.140379511410154,-2.83259570727861,0.000030649865314042,0.0117801171996659
Bradi3g05370,131.423784246619,197.425130949182,65.422437544056,0.331378468533957,-1.59344822904628,0.00000642668373180081,0.00280909085782948
Bradi3g05860,147.693009796009,81.1179668071878,214.26805278483,2.64143766440955,1.40132336396624,0.0000303489386409803,0.0117801171996659
Bradi3g06420,19.0112225703072,10.2173274011033,27.8051177395111,2.72136896939492,1.44433257372421,0.000113919314919928,0.0321454350404436
Bradi3g07790,136.432179940188,32.5029812739869,240.361378606389,7.39505636668342,2.88656114389293,0.00000000000183812712432584,0.00000000409755298554715
Bradi3g07800,21.5814035300326,3.36921846655274,39.7935885935125,11.8109255866177,3.56205012371207,0.00000375424194391129,0.00174353252945147
Bradi3g10820,3123.30642385924,1880.54070857754,4366.07213914094,2.32171104790573,1.21518843056116,0.0000845659301925822,0.0251352495447072
Bradi3g14780,202.718492054605,112.036926115613,293.400057993597,2.61877996983631,1.38889484939407,0.0000798932700509764,0.0240673077834644
Bradi3g16020,7.31187163535666,1.28268971792607,13.3410535527872,10.4008423598794,3.37862847125443,0.0000204253550091302,0.00850109580426928
