IDENTIFIER	log2FoldChange
bradi2g05850.1|pacid:21804046	2.20620716017354
bradi2g05880.1|pacid:21806058	2.76297147102156
bradi2g05920.1|pacid:21806226	2.01074359913706
bradi2g06760.1|pacid:21805644	-2.06717765441709
bradi2g07420.1|pacid:21804993	-2.00978087502424
bradi2g08230.1|pacid:21808903	3.11797073137867
bradi2g09434.1|pacid:21804045	-2.15098719717195
bradi2g11900.1|pacid:21803937	-2.03607681005644
bradi2g11900.2|pacid:21803938	-2.03607681005644
bradi2g12627.1|pacid:21806569	2.51257007674096
bradi2g14470.1|pacid:21804343	2.37310546323483
bradi2g15290.1|pacid:21807911	2.34343145105415
bradi2g17170.1|pacid:21803839	-2.38382308329101
bradi2g18060.1|pacid:21807521	-2.8777732099841
bradi2g18070.1|pacid:21803896	-2.0082591873757
bradi2g18670.1|pacid:21803522	-2.25075528515865
bradi2g20977.1|pacid:21806202	2.75369795368752
bradi2g21060.1|pacid:21805844	2.4522530645687
bradi2g21917.1|pacid:21805906	-2.03381468878876
bradi2g22320.1|pacid:21806968	2.53927532777397
bradi2g22460.1|pacid:21809672	2.02815304400504
bradi2g22907.1|pacid:21806920	3.71788785916303
bradi2g23797.1|pacid:21809601	4.21160330777336
bradi2g24300.1|pacid:21805460	2.25236239738027
bradi2g24930.1|pacid:21808204	2.04691644607308
bradi2g26690.1|pacid:21807282	2.59411927538351
bradi2g27050.1|pacid:21808670	2.62569865721655
bradi2g29120.1|pacid:21807043	-2.49889995606975
bradi2g33270.1|pacid:21806344	-2.71198449792558
bradi2g34120.2|pacid:21804755	-2.47497975873088
bradi2g34120.1|pacid:21804754	-2.47497975873088
bradi2g35467.1|pacid:21808296	-2.96772020560711
bradi2g36870.1|pacid:21802783	-2.13776928480851
bradi2g38200.1|pacid:21805837	2.53524334460376
bradi2g40130.1|pacid:21806061	2.30114220243941
bradi2g40632.1|pacid:21806341	2.01407102144269
bradi2g40632.2|pacid:21806340	2.01407102144269
bradi2g41940.1|pacid:21806999	3.33446462652515
bradi2g44840.1|pacid:21807422	2.06236410819775
bradi2g45117.1|pacid:21809445	2.28282424121281
bradi2g46090.1|pacid:21802986	3.38136468301871
bradi2g46600.1|pacid:21809592	-2.34460877611908
bradi2g47480.1|pacid:21803877	2.6245806219581
bradi2g47490.1|pacid:21803763	2.78374555065406
bradi2g47500.1|pacid:21805145	3.19750071298556
bradi2g47510.1|pacid:21804610	3.15527696826124
bradi2g47730.1|pacid:21803458	2.84692725582694
bradi2g48930.1|pacid:21803823	2.41393996235194
bradi2g48930.2|pacid:21803824	2.41393996235194
bradi2g49080.1|pacid:21808279	2.04598200033313
bradi2g50580.1|pacid:21804693	2.81116310819087
bradi2g51657.1|pacid:21806420	2.34885997350582
bradi2g52620.1|pacid:21809380	2.31433122144733
bradi2g52870.1|pacid:21803366	2.32428228918848
bradi2g53760.1|pacid:21805956	3.34019806132836
bradi2g54010.1|pacid:21802862	2.0691419288107
bradi2g54660.2|pacid:21808782	2.05407172091261
bradi2g54660.3|pacid:21808781	2.05407172091261
bradi2g54660.1|pacid:21808780	2.05407172091261
bradi2g54800.1|pacid:21807385	2.79149792320567
bradi2g57476.1|pacid:21805415	2.22402236409092
bradi2g57476.2|pacid:21805414	2.22402236409092
bradi2g59110.1|pacid:21807875	2.7896410662402
bradi2g59460.1|pacid:21805975	-2.10266560772301
bradi2g60920.1|pacid:21804927	-2.01277082720497
bradi2g60980.1|pacid:21802816	2.50283869086735
bradi2g61030.1|pacid:21805843	3.91962986254184
bradi2g61430.1|pacid:21807437	2.00935628630466
bradi2g62080.1|pacid:21803957	-2.12265520476824
bradi3g01406.1|pacid:21826873	-2.32110916478388
bradi3g01440.1|pacid:21829501	2.65257758068432
bradi3g03070.1|pacid:21832631	3.28174235082145
bradi3g03538.1|pacid:21829957	-2.00520944672191
bradi3g03538.2|pacid:21829956	-2.00520944672191
bradi3g04210.1|pacid:21826968	-2.00953321041584
bradi3g04750.1|pacid:21827176	2.69872437401804
bradi3g05292.1|pacid:21832913	2.27686232093087
bradi3g05370.1|pacid:21828873	-2.21285507885134
bradi3g05660.1|pacid:21828056	2.732507954713
bradi3g06150.1|pacid:21827911	2.57839147691403
bradi3g06800.1|pacid:21831116	2.10090679064151
